file_name,API_target,phoneme_sequence
Hackathon_ASR/2_Audiofiles/Decoding_IT_T1/1001_edugame2023_59aa8ecf74c44db2adf56d71d1705cf5_1de23ac3deaf4b4d8c7db6d0cc9d6bfe.wav,ˈvuzo;ˈseka;kloˈfeno;ranˈviʎʎo;ˈdape;ˈtarse;doˈrittsa;praˈdeʎʎa;ˈarlo;beɲˈɲole;flaˈvestro;kuɲaˈripo,v u z o s e k a k l o f e n o r a n v i ʎʎ o d a p e t a r s e d o r i t t s a p r a d e ʎʎ a a r l o b e ɲ ɲ o l e f l a v e s t r o k u ɲ a r i p o
Hackathon_ASR/2_Audiofiles/Decoding_IT_T1/1001_edugame2023_59aa8ecf74c44db2adf56d71d1705cf5_d9392071a39547488ad68ac4a108751d.wav,ˈistro;bisˈmoɡɡo;sirfeˈlone;ketiˈnare;ˈborte;foneˈdʒo;kaɡliˈdabo;pakeˈtenta;ˈbitto;eɲaˈmisa;naˈɡrosto;vuʃaˈkope,i s t r o b i s m o o s i r f e l o n e k e t i n a r e b o r t e f o n e d o k a l i d a b o p a k e t e n t a b i t t o e ɲ a m i s a n a r o s t o v u ʃ a k o p e
Hackathon_ASR/2_Audiofiles/Decoding_IT_T1/1001_edugame2023_e0304994bb364a74a1068abe1c1c0b9b_6757c2f99a654cb2b24b714018a5dc95.wav,ˈstraʒe;miˈnestra;appartaˈmento;kapoˈskwola;ˈtaʎʎa;farˈfalla;medaʎˈʎetta;kaffetˈtjera;ˈstrinɡa;dʒesˈsetto;kartonˈtʃino;kassaˈforte,s t r a e m i n e s t r a a p p a r t a m e n t o k a p o s k o l a t a ʎʎ a f a r f a l l a m e d a ʎ ʎ e t t a k a f f e t t e r a s t r i n a d e s s e t t o k a r t o n t ʃ i n o k a s s a f o r t e
Hackathon_ASR/2_Audiofiles/Decoding_IT_T1/1001_edugame2023_e0304994bb364a74a1068abe1c1c0b9b_a5aa5d09a934494798b7d4cd1e465745.wav,ˈdiva;ˈnɔtte;baˈrile;basiˈliko;ˈradjo;ˈanka;ˈkofano;kanˈdito;ˈbivjo;ˈfatto;atˈtesa;kandiˈdato,d i v a n ɔ t t e b a r i l e b a s i l i k o r a d o a n k a k o f a n o k a n d i t o b i v o f a t t o a t t e s a k a n d i d a t o
Hackathon_ASR/2_Audiofiles/Decoding_IT_T1/1001_edugame2023_e0304994bb364a74a1068abe1c1c0b9b_bc7f2bfb641b4db5babb6154f517455d.wav,ˈkazo;ˈfame;viˈtʃino;domeˈnika;ˈmeno;ˈbava;ˈnuvola;siɲˈɲora;ˈekko;ˈfoɡa;esˈtate;ospeˈdale,k a z o f a m e v i t ʃ i n o d o m e n i k a m e n o b a v a n u v o l a s i ɲ ɲ o r a e k k o f o a e s t a t e o s p e d a l e
Hackathon_ASR/2_Audiofiles/Decoding_IT_T1/1001_edugame2023_e0304994bb364a74a1068abe1c1c0b9b_f512961e99cf43beba231c7e965127b4.wav,ˈskarpa;ˈfiʎʎo;paˈlestra;ferˈmaʎʎo;ˈstrada;ˈbraŋko;komˈpaɲo;sodʒˈdʒorno;ˈdʒostra;ˈmostra;kasˈtello;akˈkwisto,s k a r p a f i ʎʎ o p a l e s t r a f e r m a ʎʎ o s t r a d a b r a k o k o m p a ɲ o s o d d o r n o d o s t r a m o s t r a k a s t e l l o a k k i s t o
Hackathon_ASR/2_Audiofiles/Decoding_IT_T1/1003_edugame2023_02e48270d3904c839ecc760a4b59322b_98b2a3e02bec4c218b8b98e64bf8d392.wav,ˈstrofa;miˈnistra;inkwinaˈmento;kaposˈkwadra;ˈtiʎʎo;fanˈtazma;motoʧiˈletta;kafˈfelatte;ˈstrillo;rosˈsetto;kartelˈlone;kassaˈpanka,s t r o f a m i n i s t r a i n k i n a m e n t o k a p o s k a d r a t i ʎʎ o f a n t a z m a m o t o ʧ i l e t t a k a f f e l a t t e s t r i l l o r o s s e t t o k a r t e l l o n e k a s s a p a n k a
Hackathon_ASR/2_Audiofiles/Decoding_IT_T1/1003_edugame2023_02e48270d3904c839ecc760a4b59322b_d2a3c3d085c14e1da01bb4d53ed5f19a.wav,ˈdiɡa;ˈɡatto;baˈdile;boˈnifiko;ˈlinea;ˈalba;koˈmeta;penˈtito;ˈtittsjo;ˈpatto;ofˈfesa;kaldeˈrone,d i a a t t o b a d i l e b o n i f i k o l i n e a a l b a k o m e t a p e n t i t o t i t t s o p a t t o o f f e s a k a l d e r o n e
Hackathon_ASR/2_Audiofiles/Decoding_IT_T1/1003_edugame2023_02e48270d3904c839ecc760a4b59322b_d55bad000d034aa2a55ef3da422b85c3.wav,ˈnazo;ˈpane;lavˈoro;teˈlɛfono;ˈmano;ˈfava;naˈtura;perˈsona;ˈanno;ˈfotʃe;ˈaŋgolo;persoˈnale,n a z o p a n e l a v o r o t e l ɛ f o n o m a n o f a v a n a t u r a p e r s o n a a n n o f o t ʃ e a g o l o p e r s o n a l e
Hackathon_ASR/2_Audiofiles/Decoding_IT_T1/1003_edugame2023_02e48270d3904c839ecc760a4b59322b_fb0cd2892d1144c088b642c70c96010a.wav,ˈfrutta;ˈfoʎʎa;fiˈnestra;venˈtaʎʎo;ˈstreɡa;ˈpronto;kamˈpaɲɲa;buonˈdʒorno;ˈdestra;ˈlastra;kapˈpello;ʃakˈkwo,f r u t t a f o ʎʎ a f i n e s t r a v e n t a ʎʎ o s t r e a p r o n t o k a m p a ɲɲ a b u o n d o r n o d e s t r a l a s t r a k a p p e l l o ʃ a k k o
